question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-236 AWS PrivateLink"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",11-236 AWS PrivateLink,A,AWS PrivateLink,AWS Marketplace e que ele execute um servi,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""11-236 AWS PrivateLink"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",11-236 AWS PrivateLink,B,Amazon S3,AWS PrivateLink,AWS Marketplace e que ele execute um servi,AWS Glue
"A aula ""11-236 AWS PrivateLink"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",11-236 AWS PrivateLink,A,Verdadeiro,Falso,,
"No contexto de ""11-236 AWS PrivateLink"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",11-236 AWS PrivateLink,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-236 AWS PrivateLink"", qual prática costuma ser mais recomendada?",11-236 AWS PrivateLink,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-236 AWS PrivateLink""?",11-236 AWS PrivateLink,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-236 AWS PrivateLink"", qual decisão melhora observabilidade operacional?",11-236 AWS PrivateLink,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-236 AWS PrivateLink"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",11-236 AWS PrivateLink,B,AWS Glue,AWS Marketplace e que ele execute um servi,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-236 AWS PrivateLink"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",11-236 AWS PrivateLink,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-236 AWS PrivateLink"" em pipelines de dados?",11-236 AWS PrivateLink,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
