question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-102 Redshift Federated Queries"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-102 Redshift Federated Queries,A,AWS Secrets Manager para que isso funcione,AWS Secrets Manager,Amazon RDS ou ao Aurora para PostgreSQL e MySQL atualmente,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""04-102 Redshift Federated Queries"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-102 Redshift Federated Queries,B,Amazon RDS ou ao Aurora para PostgreSQL e MySQL atualmente,AWS Secrets Manager para que isso funcione,AWS Secrets Manager,Amazon S3
"A aula ""04-102 Redshift Federated Queries"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-102 Redshift Federated Queries,A,Verdadeiro,Falso,,
"No contexto de ""04-102 Redshift Federated Queries"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-102 Redshift Federated Queries,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-102 Redshift Federated Queries"", qual prática costuma ser mais recomendada?",04-102 Redshift Federated Queries,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-102 Redshift Federated Queries""?",04-102 Redshift Federated Queries,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-102 Redshift Federated Queries"", qual decisão melhora observabilidade operacional?",04-102 Redshift Federated Queries,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-102 Redshift Federated Queries"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-102 Redshift Federated Queries,B,Amazon S3,AWS Secrets Manager,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-102 Redshift Federated Queries"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-102 Redshift Federated Queries,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-102 Redshift Federated Queries"" em pipelines de dados?",04-102 Redshift Federated Queries,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
