question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""07-126 Intro- Containers"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",07-126 Intro- Containers,A,Amazon Elastic Container Service,Amazon Elastic Container Registry e o,Amazon Elastic Kubernetes para,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""07-126 Intro- Containers"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",07-126 Intro- Containers,B,Amazon Elastic Kubernetes para,Amazon Elastic Container Service,Amazon Elastic Container Registry e o,Amazon S3
"A aula ""07-126 Intro- Containers"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",07-126 Intro- Containers,A,Verdadeiro,Falso,,
"No contexto de ""07-126 Intro- Containers"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",07-126 Intro- Containers,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""07-126 Intro- Containers"", qual prática costuma ser mais recomendada?",07-126 Intro- Containers,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""07-126 Intro- Containers""?",07-126 Intro- Containers,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""07-126 Intro- Containers"", qual decisão melhora observabilidade operacional?",07-126 Intro- Containers,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""07-126 Intro- Containers"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",07-126 Intro- Containers,B,Amazon S3,Amazon Elastic Container Registry e o,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""07-126 Intro- Containers"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",07-126 Intro- Containers,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""07-126 Intro- Containers"" em pipelines de dados?",07-126 Intro- Containers,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
