question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-152 Athena ACID Transactions"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-152 Athena ACID Transactions,A,Amazon S3,Amazon Athena,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""08-152 Athena ACID Transactions"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-152 Athena ACID Transactions,B,AWS Glue,Amazon S3,Amazon Athena,Amazon Kinesis Data Streams
"A aula ""08-152 Athena ACID Transactions"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-152 Athena ACID Transactions,A,Verdadeiro,Falso,,
"No contexto de ""08-152 Athena ACID Transactions"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-152 Athena ACID Transactions,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-152 Athena ACID Transactions"", qual prática costuma ser mais recomendada?",08-152 Athena ACID Transactions,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-152 Athena ACID Transactions""?",08-152 Athena ACID Transactions,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-152 Athena ACID Transactions"", qual decisão melhora observabilidade operacional?",08-152 Athena ACID Transactions,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-152 Athena ACID Transactions"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-152 Athena ACID Transactions,B,Amazon Kinesis Data Streams,Amazon Athena,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-152 Athena ACID Transactions"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-152 Athena ACID Transactions,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-152 Athena ACID Transactions"" em pipelines de dados?",08-152 Athena ACID Transactions,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
