question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-214 IAM Policies"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-214 IAM Policies,A,AWS IAM,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""10-214 IAM Policies"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-214 IAM Policies,B,AWS Glue,AWS IAM,Amazon S3,Amazon Kinesis Data Streams
"A aula ""10-214 IAM Policies"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-214 IAM Policies,A,Verdadeiro,Falso,,
"No contexto de ""10-214 IAM Policies"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-214 IAM Policies,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-214 IAM Policies"", qual prática costuma ser mais recomendada?",10-214 IAM Policies,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-214 IAM Policies""?",10-214 IAM Policies,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-214 IAM Policies"", qual decisão melhora observabilidade operacional?",10-214 IAM Policies,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-214 IAM Policies"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-214 IAM Policies,B,Amazon Kinesis Data Streams,Amazon S3,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-214 IAM Policies"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-214 IAM Policies,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-214 IAM Policies"" em pipelines de dados?",10-214 IAM Policies,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
