question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-110 AWS DataSync"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-110 AWS DataSync,A,AWS DataSync e instru,AWS Snowcone especificamente porque o dispositivo,AWS DataSync e ele copiar,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""05-110 AWS DataSync"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-110 AWS DataSync,B,AWS DataSync e ele copiar,AWS DataSync e instru,AWS Snowcone especificamente porque o dispositivo,Amazon S3
"A aula ""05-110 AWS DataSync"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-110 AWS DataSync,A,Verdadeiro,Falso,,
"No contexto de ""05-110 AWS DataSync"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-110 AWS DataSync,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-110 AWS DataSync"", qual prática costuma ser mais recomendada?",05-110 AWS DataSync,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-110 AWS DataSync""?",05-110 AWS DataSync,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-110 AWS DataSync"", qual decisão melhora observabilidade operacional?",05-110 AWS DataSync,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-110 AWS DataSync"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-110 AWS DataSync,B,Amazon S3,AWS Snowcone especificamente porque o dispositivo,Amazon EFS,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-110 AWS DataSync"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-110 AWS DataSync,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-110 AWS DataSync"" em pipelines de dados?",05-110 AWS DataSync,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
