question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""06-117 EC2 Graviton-based instances"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",06-117 EC2 Graviton-based instances,A,AWS Graviton,Amazon EMR,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""06-117 EC2 Graviton-based instances"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",06-117 EC2 Graviton-based instances,B,Amazon S3,AWS Graviton,Amazon EMR,AWS Glue
"A aula ""06-117 EC2 Graviton-based instances"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",06-117 EC2 Graviton-based instances,A,Verdadeiro,Falso,,
"No contexto de ""06-117 EC2 Graviton-based instances"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",06-117 EC2 Graviton-based instances,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""06-117 EC2 Graviton-based instances"", qual prática costuma ser mais recomendada?",06-117 EC2 Graviton-based instances,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""06-117 EC2 Graviton-based instances""?",06-117 EC2 Graviton-based instances,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""06-117 EC2 Graviton-based instances"", qual decisão melhora observabilidade operacional?",06-117 EC2 Graviton-based instances,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""06-117 EC2 Graviton-based instances"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",06-117 EC2 Graviton-based instances,B,AWS Glue,Amazon EMR,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""06-117 EC2 Graviton-based instances"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",06-117 EC2 Graviton-based instances,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""06-117 EC2 Graviton-based instances"" em pipelines de dados?",06-117 EC2 Graviton-based instances,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
