question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""12-247 Amazon CloudWatch - Logs"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",12-247 Amazon CloudWatch - Logs,A,AWS Lambda,Amazon S3 ou,Amazon OpenSearch,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""12-247 Amazon CloudWatch - Logs"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",12-247 Amazon CloudWatch - Logs,B,Amazon OpenSearch,AWS Lambda,Amazon S3 ou,Amazon S3
"A aula ""12-247 Amazon CloudWatch - Logs"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",12-247 Amazon CloudWatch - Logs,A,Verdadeiro,Falso,,
"No contexto de ""12-247 Amazon CloudWatch - Logs"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",12-247 Amazon CloudWatch - Logs,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""12-247 Amazon CloudWatch - Logs"", qual prática costuma ser mais recomendada?",12-247 Amazon CloudWatch - Logs,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""12-247 Amazon CloudWatch - Logs""?",12-247 Amazon CloudWatch - Logs,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""12-247 Amazon CloudWatch - Logs"", qual decisão melhora observabilidade operacional?",12-247 Amazon CloudWatch - Logs,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""12-247 Amazon CloudWatch - Logs"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",12-247 Amazon CloudWatch - Logs,B,Amazon S3,Amazon S3 ou,Amazon EC2 ou o Lambda,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""12-247 Amazon CloudWatch - Logs"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",12-247 Amazon CloudWatch - Logs,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""12-247 Amazon CloudWatch - Logs"" em pipelines de dados?",12-247 Amazon CloudWatch - Logs,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
