question,ref,answer,option_a,option_b,option_c,option_d
"At which level must Amazon S3 Versioning be enabled?","03-028 Amazon S3 - Versioning",B,"Object level","Bucket level","Account level","Region level"
"A data engineer accidentally deleted a critical configuration file in an S3 bucket with versioning enabled. How can the file be recovered?","03-028 Amazon S3 - Versioning",C,"By contacting AWS Support to restore the file from backup.","By running an Athena query to extract the deleted data.","By removing the delete marker that was placed on the object.","The file cannot be recovered once deleted, even with versioning."
"What happens when you upload an object to an S3 bucket with versioning enabled using the same key as an existing object?","03-028 Amazon S3 - Versioning",B,"S3 overwrites the existing object and deletes the previous version permanently.","S3 creates a new version of the object and preserves the previous version.","The upload fails because an object with the same key already exists.","S3 renames the new object automatically by appending a timestamp to the key."
"A company wants to stop versioning for an existing S3 bucket. What happens to the existing object versions when versioning is suspended?","03-028 Amazon S3 - Versioning",D,"All previous versions are automatically deleted, leaving only the latest version.","S3 moves all previous versions to the S3 Glacier storage class.","It is not possible to suspend versioning once it has been enabled.","The existing versions are preserved, but newly uploaded objects will not be versioned."
"An S3 bucket contains multiple objects when an administrator enables versioning for the first time. What version ID is assigned to the objects that already existed?","03-028 Amazon S3 - Versioning",A,"A null version ID.","version-1","An auto-generated 32-character alphanumeric ID.","0"
"Amazon S3 Versioning allows you to easily revert an object to a previous state if the latest version is corrupted or tampered with.","03-028 Amazon S3 - Versioning",A,"Verdadeiro","Falso","",""
"A data engineering team is building a data lake on Amazon S3. They need to protect raw data files from being permanently overwritten by buggy ETL pipelines. Which S3 feature should be implemented?","03-028 Amazon S3 - Versioning",D,"S3 Storage Lens","Amazon EBS Snapshots","S3 Transfer Acceleration","S3 Versioning"
"An ETL process runs daily and overwrites the same output file in an S3 bucket where versioning is enabled. Over time, the storage costs significantly increase. What is the BEST way to manage these costs without disabling versioning?","03-028 Amazon S3 - Versioning",B,"Use an AWS Lambda function to randomly delete previous object versions.","Configure an S3 Lifecycle rule to transition or expire noncurrent object versions.","Move the bucket to a different AWS Region with lower storage costs.","Change the storage class of the bucket to S3 Express One Zone."
"In an S3 bucket with versioning enabled, a user issues a DELETE request for an object without specifying its version ID. What is the result?","03-028 Amazon S3 - Versioning",B,"The object and all its versions are permanently deleted.","Amazon S3 adds a delete marker and it becomes the current version of the object.","Only the oldest version of the object is permanently deleted.","The request is denied explicitly due to a missing version ID."
"Which of the following is considered a best practice when designing a data pipeline that updates datasets stored in Amazon S3?","03-028 Amazon S3 - Versioning",C,"Storing all data in a single S3 object and updating it concurrently from multiple EC2 instances.","Disabling S3 Versioning to ensure applications only ever read the absolute latest data without extra API calls.","Enabling S3 Versioning to maintain a history of dataset changes and protect against unintended overwrites or deletions.","Using AWS Backup to completely replace S3 Versioning for individual object recoveries."
"A malicious actor gains access to an AWS account and deletes several important objects in an S3 bucket configured with versioning. How does versioning protect the data in this scenario?","03-028 Amazon S3 - Versioning",C,"Versioning automatically prevents the deletion request from succeeding.","It triggers an SNS notification to the account owner before completing the deletion.","Versioning places a delete marker over the objects instead of permanently removing the data.","It creates a temporary bucket to store the deleted objects for 30 days."
