question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""02-012 Database Performance Optimization"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",02-012 Database Performance Optimization,A,Amazon Redshift,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""02-012 Database Performance Optimization"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",02-012 Database Performance Optimization,B,AWS Glue,Amazon Redshift,Amazon S3,Amazon Kinesis Data Streams
"A aula ""02-012 Database Performance Optimization"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",02-012 Database Performance Optimization,A,Verdadeiro,Falso,,
"No contexto de ""02-012 Database Performance Optimization"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",02-012 Database Performance Optimization,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""02-012 Database Performance Optimization"", qual prática costuma ser mais recomendada?",02-012 Database Performance Optimization,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""02-012 Database Performance Optimization""?",02-012 Database Performance Optimization,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""02-012 Database Performance Optimization"", qual decisão melhora observabilidade operacional?",02-012 Database Performance Optimization,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""02-012 Database Performance Optimization"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",02-012 Database Performance Optimization,B,Amazon Kinesis Data Streams,Amazon S3,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""02-012 Database Performance Optimization"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",02-012 Database Performance Optimization,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""02-012 Database Performance Optimization"" em pipelines de dados?",02-012 Database Performance Optimization,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
