question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""13-279 Bedrock Knowledge Bases"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",13-279 Bedrock Knowledge Bases,A,Amazon Bedrock,Amazon S3,AWS IAM,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""13-279 Bedrock Knowledge Bases"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",13-279 Bedrock Knowledge Bases,B,AWS IAM,Amazon Bedrock,Amazon S3,AWS Glue
"A aula ""13-279 Bedrock Knowledge Bases"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",13-279 Bedrock Knowledge Bases,A,Verdadeiro,Falso,,
"No contexto de ""13-279 Bedrock Knowledge Bases"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",13-279 Bedrock Knowledge Bases,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""13-279 Bedrock Knowledge Bases"", qual prática costuma ser mais recomendada?",13-279 Bedrock Knowledge Bases,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""13-279 Bedrock Knowledge Bases""?",13-279 Bedrock Knowledge Bases,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""13-279 Bedrock Knowledge Bases"", qual decisão melhora observabilidade operacional?",13-279 Bedrock Knowledge Bases,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""13-279 Bedrock Knowledge Bases"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",13-279 Bedrock Knowledge Bases,B,AWS Glue,Amazon S3,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""13-279 Bedrock Knowledge Bases"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",13-279 Bedrock Knowledge Bases,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""13-279 Bedrock Knowledge Bases"" em pipelines de dados?",13-279 Bedrock Knowledge Bases,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
