question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""17-307 Reviewing the Exam Guide (and other AWS resources)"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",17-307 Reviewing the Exam Guide (and other AWS resources),A,AWS Certified Data Engineer Associate,AWS Skill Builder nem sempre,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""17-307 Reviewing the Exam Guide (and other AWS resources)"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",17-307 Reviewing the Exam Guide (and other AWS resources),B,Amazon S3,AWS Certified Data Engineer Associate,AWS Skill Builder nem sempre,AWS Glue
"A aula ""17-307 Reviewing the Exam Guide (and other AWS resources)"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",17-307 Reviewing the Exam Guide (and other AWS resources),A,Verdadeiro,Falso,,
"No contexto de ""17-307 Reviewing the Exam Guide (and other AWS resources)"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",17-307 Reviewing the Exam Guide (and other AWS resources),A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""17-307 Reviewing the Exam Guide (and other AWS resources)"", qual prática costuma ser mais recomendada?",17-307 Reviewing the Exam Guide (and other AWS resources),C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""17-307 Reviewing the Exam Guide (and other AWS resources)""?",17-307 Reviewing the Exam Guide (and other AWS resources),D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""17-307 Reviewing the Exam Guide (and other AWS resources)"", qual decisão melhora observabilidade operacional?",17-307 Reviewing the Exam Guide (and other AWS resources),A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""17-307 Reviewing the Exam Guide (and other AWS resources)"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",17-307 Reviewing the Exam Guide (and other AWS resources),B,AWS Glue,AWS Skill Builder nem sempre,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""17-307 Reviewing the Exam Guide (and other AWS resources)"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",17-307 Reviewing the Exam Guide (and other AWS resources),A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""17-307 Reviewing the Exam Guide (and other AWS resources)"" em pipelines de dados?",17-307 Reviewing the Exam Guide (and other AWS resources),C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
