question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""12-262 AWS Well-Architected Framework & Tool"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",12-262 AWS Well-Architected Framework & Tool,A,AWS Well-Architected Framework,AWS Well-Architected,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""12-262 AWS Well-Architected Framework & Tool"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",12-262 AWS Well-Architected Framework & Tool,B,Amazon S3,AWS Well-Architected Framework,AWS Well-Architected,AWS Glue
"A aula ""12-262 AWS Well-Architected Framework & Tool"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",12-262 AWS Well-Architected Framework & Tool,A,Verdadeiro,Falso,,
"No contexto de ""12-262 AWS Well-Architected Framework & Tool"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",12-262 AWS Well-Architected Framework & Tool,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""12-262 AWS Well-Architected Framework & Tool"", qual prática costuma ser mais recomendada?",12-262 AWS Well-Architected Framework & Tool,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""12-262 AWS Well-Architected Framework & Tool""?",12-262 AWS Well-Architected Framework & Tool,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""12-262 AWS Well-Architected Framework & Tool"", qual decisão melhora observabilidade operacional?",12-262 AWS Well-Architected Framework & Tool,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""12-262 AWS Well-Architected Framework & Tool"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",12-262 AWS Well-Architected Framework & Tool,B,AWS Glue,AWS Well-Architected,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""12-262 AWS Well-Architected Framework & Tool"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",12-262 AWS Well-Architected Framework & Tool,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""12-262 AWS Well-Architected Framework & Tool"" em pipelines de dados?",12-262 AWS Well-Architected Framework & Tool,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
