question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""06-122 AWS SAM"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",06-122 AWS SAM,A,AWS Lambda muito rapidamente usando o SAM Accelerate,Amazon S3,Amazon DynamoDB,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""06-122 AWS SAM"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",06-122 AWS SAM,B,Amazon DynamoDB,AWS Lambda muito rapidamente usando o SAM Accelerate,Amazon S3,AWS Glue
"A aula ""06-122 AWS SAM"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",06-122 AWS SAM,A,Verdadeiro,Falso,,
"No contexto de ""06-122 AWS SAM"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",06-122 AWS SAM,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""06-122 AWS SAM"", qual prática costuma ser mais recomendada?",06-122 AWS SAM,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""06-122 AWS SAM""?",06-122 AWS SAM,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""06-122 AWS SAM"", qual decisão melhora observabilidade operacional?",06-122 AWS SAM,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""06-122 AWS SAM"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",06-122 AWS SAM,B,AWS Glue,Amazon S3,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""06-122 AWS SAM"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",06-122 AWS SAM,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""06-122 AWS SAM"" em pipelines de dados?",06-122 AWS SAM,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
