question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""13-284 Optimizing your Vector Stores and Embeddings"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",13-284 Optimizing your Vector Stores and Embeddings,A,AWS Batch e talvez o Event Bridge,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""13-284 Optimizing your Vector Stores and Embeddings"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",13-284 Optimizing your Vector Stores and Embeddings,B,AWS Glue,AWS Batch e talvez o Event Bridge,Amazon S3,Amazon Kinesis Data Streams
"A aula ""13-284 Optimizing your Vector Stores and Embeddings"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",13-284 Optimizing your Vector Stores and Embeddings,A,Verdadeiro,Falso,,
"No contexto de ""13-284 Optimizing your Vector Stores and Embeddings"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",13-284 Optimizing your Vector Stores and Embeddings,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""13-284 Optimizing your Vector Stores and Embeddings"", qual prática costuma ser mais recomendada?",13-284 Optimizing your Vector Stores and Embeddings,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""13-284 Optimizing your Vector Stores and Embeddings""?",13-284 Optimizing your Vector Stores and Embeddings,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""13-284 Optimizing your Vector Stores and Embeddings"", qual decisão melhora observabilidade operacional?",13-284 Optimizing your Vector Stores and Embeddings,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""13-284 Optimizing your Vector Stores and Embeddings"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",13-284 Optimizing your Vector Stores and Embeddings,B,Amazon Kinesis Data Streams,Amazon S3,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""13-284 Optimizing your Vector Stores and Embeddings"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",13-284 Optimizing your Vector Stores and Embeddings,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""13-284 Optimizing your Vector Stores and Embeddings"" em pipelines de dados?",13-284 Optimizing your Vector Stores and Embeddings,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
