question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""09-198 Amazon SNS - with SQS Fan Out"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",09-198 Amazon SNS - with SQS Fan Out,A,Amazon S3,Amazon S3 por meio do Kinesis,Amazon SNS tem um recurso FIFO ou FIFO,Amazon Kinesis
"Uma equipe precisa aplicar os conceitos de ""09-198 Amazon SNS - with SQS Fan Out"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",09-198 Amazon SNS - with SQS Fan Out,B,Amazon SNS tem um recurso FIFO ou FIFO,Amazon S3,Amazon S3 por meio do Kinesis,Amazon Kinesis
"A aula ""09-198 Amazon SNS - with SQS Fan Out"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",09-198 Amazon SNS - with SQS Fan Out,A,Verdadeiro,Falso,,
"No contexto de ""09-198 Amazon SNS - with SQS Fan Out"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",09-198 Amazon SNS - with SQS Fan Out,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""09-198 Amazon SNS - with SQS Fan Out"", qual prática costuma ser mais recomendada?",09-198 Amazon SNS - with SQS Fan Out,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""09-198 Amazon SNS - with SQS Fan Out""?",09-198 Amazon SNS - with SQS Fan Out,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""09-198 Amazon SNS - with SQS Fan Out"", qual decisão melhora observabilidade operacional?",09-198 Amazon SNS - with SQS Fan Out,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""09-198 Amazon SNS - with SQS Fan Out"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",09-198 Amazon SNS - with SQS Fan Out,B,Amazon Kinesis,Amazon S3 por meio do Kinesis,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""09-198 Amazon SNS - with SQS Fan Out"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",09-198 Amazon SNS - with SQS Fan Out,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""09-198 Amazon SNS - with SQS Fan Out"" em pipelines de dados?",09-198 Amazon SNS - with SQS Fan Out,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
