question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-082 Aurora as a Vector Store with pgvector"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-082 Aurora as a Vector Store with pgvector,A,Amazon Aurora,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""04-082 Aurora as a Vector Store with pgvector"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-082 Aurora as a Vector Store with pgvector,B,AWS Glue,Amazon Aurora,Amazon S3,Amazon Kinesis Data Streams
"A aula ""04-082 Aurora as a Vector Store with pgvector"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-082 Aurora as a Vector Store with pgvector,A,Verdadeiro,Falso,,
"No contexto de ""04-082 Aurora as a Vector Store with pgvector"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-082 Aurora as a Vector Store with pgvector,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-082 Aurora as a Vector Store with pgvector"", qual prática costuma ser mais recomendada?",04-082 Aurora as a Vector Store with pgvector,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-082 Aurora as a Vector Store with pgvector""?",04-082 Aurora as a Vector Store with pgvector,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-082 Aurora as a Vector Store with pgvector"", qual decisão melhora observabilidade operacional?",04-082 Aurora as a Vector Store with pgvector,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-082 Aurora as a Vector Store with pgvector"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-082 Aurora as a Vector Store with pgvector,B,Amazon Kinesis Data Streams,Amazon S3,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-082 Aurora as a Vector Store with pgvector"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-082 Aurora as a Vector Store with pgvector,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-082 Aurora as a Vector Store with pgvector"" em pipelines de dados?",04-082 Aurora as a Vector Store with pgvector,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
