question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""07-128 Amazon ECS"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",07-128 Amazon ECS,A,AWS Private Link,Amazon ECS,Amazon ECS e no,Amazon EC2 que provisionamos com anteced
"Uma equipe precisa aplicar os conceitos de ""07-128 Amazon ECS"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",07-128 Amazon ECS,B,Amazon ECS e no,AWS Private Link,Amazon ECS,Amazon EC2 que provisionamos com anteced
"A aula ""07-128 Amazon ECS"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",07-128 Amazon ECS,A,Verdadeiro,Falso,,
"No contexto de ""07-128 Amazon ECS"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",07-128 Amazon ECS,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""07-128 Amazon ECS"", qual prática costuma ser mais recomendada?",07-128 Amazon ECS,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""07-128 Amazon ECS""?",07-128 Amazon ECS,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""07-128 Amazon ECS"", qual decisão melhora observabilidade operacional?",07-128 Amazon ECS,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""07-128 Amazon ECS"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",07-128 Amazon ECS,B,Amazon EC2 que provisionamos com anteced,Amazon ECS,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""07-128 Amazon ECS"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",07-128 Amazon ECS,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""07-128 Amazon ECS"" em pipelines de dados?",07-128 Amazon ECS,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
