question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,A,Amazon S3,AWS Glue,Amazon Kinesis Data Streams,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,B,Amazon Kinesis Data Streams,Amazon S3,AWS Glue,Amazon Redshift
"A aula ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",11-243 Amazon CloudFront - ALB-EC2 as an Origin,A,Verdadeiro,Falso,,
"No contexto de ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",11-243 Amazon CloudFront - ALB-EC2 as an Origin,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"", qual prática costuma ser mais recomendada?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-243 Amazon CloudFront - ALB-EC2 as an Origin""?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"", qual decisão melhora observabilidade operacional?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,B,Amazon Redshift,AWS Glue,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",11-243 Amazon CloudFront - ALB-EC2 as an Origin,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-243 Amazon CloudFront - ALB-EC2 as an Origin"" em pipelines de dados?",11-243 Amazon CloudFront - ALB-EC2 as an Origin,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
