question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-107 Application Discovery Service & Application Migration Service"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-107 Application Discovery Service & Application Migration Service,A,AWS Application Discovery Service,AWS Migration Hub,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""05-107 Application Discovery Service & Application Migration Service"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-107 Application Discovery Service & Application Migration Service,B,Amazon S3,AWS Application Discovery Service,AWS Migration Hub,AWS Glue
"A aula ""05-107 Application Discovery Service & Application Migration Service"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-107 Application Discovery Service & Application Migration Service,A,Verdadeiro,Falso,,
"No contexto de ""05-107 Application Discovery Service & Application Migration Service"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-107 Application Discovery Service & Application Migration Service,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-107 Application Discovery Service & Application Migration Service"", qual prática costuma ser mais recomendada?",05-107 Application Discovery Service & Application Migration Service,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-107 Application Discovery Service & Application Migration Service""?",05-107 Application Discovery Service & Application Migration Service,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-107 Application Discovery Service & Application Migration Service"", qual decisão melhora observabilidade operacional?",05-107 Application Discovery Service & Application Migration Service,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-107 Application Discovery Service & Application Migration Service"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-107 Application Discovery Service & Application Migration Service,B,AWS Glue,AWS Migration Hub,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-107 Application Discovery Service & Application Migration Service"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-107 Application Discovery Service & Application Migration Service,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-107 Application Discovery Service & Application Migration Service"" em pipelines de dados?",05-107 Application Discovery Service & Application Migration Service,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
