question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-227 AWS Shield"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-227 AWS Shield,A,AWS Shield Standard,AWS Shield Advanced,Amazon EC2,Amazon CloudFront
"Uma equipe precisa aplicar os conceitos de ""10-227 AWS Shield"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-227 AWS Shield,B,Amazon EC2,AWS Shield Standard,AWS Shield Advanced,Amazon CloudFront
"A aula ""10-227 AWS Shield"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-227 AWS Shield,A,Verdadeiro,Falso,,
"No contexto de ""10-227 AWS Shield"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-227 AWS Shield,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-227 AWS Shield"", qual prática costuma ser mais recomendada?",10-227 AWS Shield,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-227 AWS Shield""?",10-227 AWS Shield,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-227 AWS Shield"", qual decisão melhora observabilidade operacional?",10-227 AWS Shield,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-227 AWS Shield"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-227 AWS Shield,B,Amazon CloudFront,AWS Shield Advanced,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-227 AWS Shield"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-227 AWS Shield,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-227 AWS Shield"" em pipelines de dados?",10-227 AWS Shield,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
