question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""07-127 What is Docker-"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",07-127 What is Docker-,A,AWS Fargate,Amazon ECR,Amazon Elastic Container Registry,Amazon ECR Public Gallery
"Uma equipe precisa aplicar os conceitos de ""07-127 What is Docker-"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",07-127 What is Docker-,B,Amazon Elastic Container Registry,AWS Fargate,Amazon ECR,Amazon ECR Public Gallery
"A aula ""07-127 What is Docker-"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",07-127 What is Docker-,A,Verdadeiro,Falso,,
"No contexto de ""07-127 What is Docker-"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",07-127 What is Docker-,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""07-127 What is Docker-"", qual prática costuma ser mais recomendada?",07-127 What is Docker-,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""07-127 What is Docker-""?",07-127 What is Docker-,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""07-127 What is Docker-"", qual decisão melhora observabilidade operacional?",07-127 What is Docker-,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""07-127 What is Docker-"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",07-127 What is Docker-,B,Amazon ECR Public Gallery,Amazon ECR,Amazon ECS,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""07-127 What is Docker-"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",07-127 What is Docker-,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""07-127 What is Docker-"" em pipelines de dados?",07-127 What is Docker-,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
