question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,A,AWS Mobile para fazer isso automaticamente,Amazon Kinesis mais,AWS IAM,Amazon Kinesis
"Uma equipe precisa aplicar os conceitos de ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,B,AWS IAM,AWS Mobile para fazer isso automaticamente,Amazon Kinesis mais,Amazon Kinesis
"A aula ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,A,Verdadeiro,Falso,,
"No contexto de ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"", qual prática costuma ser mais recomendada?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning""?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"", qual decisão melhora observabilidade operacional?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,B,Amazon Kinesis,Amazon Kinesis mais,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-174 Kinesis Data Stream Troubleshooting and Performance Tuning"" em pipelines de dados?",08-174 Kinesis Data Stream Troubleshooting and Performance Tuning,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
