question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-228 AWS Services Security Deep Dive - Part 1"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-228 AWS Services Security Deep Dive - Part 1,A,AWS IoT,Amazon S3,AWS IAM,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""10-228 AWS Services Security Deep Dive - Part 1"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-228 AWS Services Security Deep Dive - Part 1,B,AWS IAM,AWS IoT,Amazon S3,Amazon Redshift
"A aula ""10-228 AWS Services Security Deep Dive - Part 1"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-228 AWS Services Security Deep Dive - Part 1,A,Verdadeiro,Falso,,
"No contexto de ""10-228 AWS Services Security Deep Dive - Part 1"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-228 AWS Services Security Deep Dive - Part 1,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-228 AWS Services Security Deep Dive - Part 1"", qual prática costuma ser mais recomendada?",10-228 AWS Services Security Deep Dive - Part 1,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-228 AWS Services Security Deep Dive - Part 1""?",10-228 AWS Services Security Deep Dive - Part 1,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-228 AWS Services Security Deep Dive - Part 1"", qual decisão melhora observabilidade operacional?",10-228 AWS Services Security Deep Dive - Part 1,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-228 AWS Services Security Deep Dive - Part 1"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-228 AWS Services Security Deep Dive - Part 1,B,Amazon Redshift,Amazon S3,Amazon Kinesis,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-228 AWS Services Security Deep Dive - Part 1"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-228 AWS Services Security Deep Dive - Part 1,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-228 AWS Services Security Deep Dive - Part 1"" em pipelines de dados?",10-228 AWS Services Security Deep Dive - Part 1,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
