question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-059 Intro- Database"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-059 Intro- Database,A,Amazon RDS com alguns,Amazon Key spaces para Apache Cassandra e Amazon Neptune,Amazon Redshift,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""04-059 Intro- Database"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-059 Intro- Database,B,Amazon Redshift,Amazon RDS com alguns,Amazon Key spaces para Apache Cassandra e Amazon Neptune,Amazon S3
"A aula ""04-059 Intro- Database"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-059 Intro- Database,A,Verdadeiro,Falso,,
"No contexto de ""04-059 Intro- Database"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-059 Intro- Database,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-059 Intro- Database"", qual prática costuma ser mais recomendada?",04-059 Intro- Database,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-059 Intro- Database""?",04-059 Intro- Database,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-059 Intro- Database"", qual decisão melhora observabilidade operacional?",04-059 Intro- Database,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-059 Intro- Database"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-059 Intro- Database,B,Amazon S3,Amazon Key spaces para Apache Cassandra e Amazon Neptune,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-059 Intro- Database"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-059 Intro- Database,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-059 Intro- Database"" em pipelines de dados?",04-059 Intro- Database,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
