question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,A,AWS Glue,AWS Glue no lugar do Hive,Amazon EMR e ao Amazon Athena,Amazon Athena
"Uma equipe precisa aplicar os conceitos de ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,B,Amazon EMR e ao Amazon Athena,AWS Glue,AWS Glue no lugar do Hive,Amazon Athena
"A aula ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-153 Apache Iceberg and Athena - EMR - Glue Integration,A,Verdadeiro,Falso,,
"No contexto de ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-153 Apache Iceberg and Athena - EMR - Glue Integration,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"", qual prática costuma ser mais recomendada?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-153 Apache Iceberg and Athena - EMR - Glue Integration""?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"", qual decisão melhora observabilidade operacional?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,B,Amazon Athena,AWS Glue no lugar do Hive,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-153 Apache Iceberg and Athena - EMR - Glue Integration,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-153 Apache Iceberg and Athena - EMR - Glue Integration"" em pipelines de dados?",08-153 Apache Iceberg and Athena - EMR - Glue Integration,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
