question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-091 Redshift Durability and Scaling"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-091 Redshift Durability and Scaling,A,Amazon S3,Amazon Redshift,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""04-091 Redshift Durability and Scaling"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-091 Redshift Durability and Scaling,B,AWS Glue,Amazon S3,Amazon Redshift,Amazon Kinesis Data Streams
"A aula ""04-091 Redshift Durability and Scaling"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-091 Redshift Durability and Scaling,A,Verdadeiro,Falso,,
"No contexto de ""04-091 Redshift Durability and Scaling"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-091 Redshift Durability and Scaling,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-091 Redshift Durability and Scaling"", qual prática costuma ser mais recomendada?",04-091 Redshift Durability and Scaling,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-091 Redshift Durability and Scaling""?",04-091 Redshift Durability and Scaling,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-091 Redshift Durability and Scaling"", qual decisão melhora observabilidade operacional?",04-091 Redshift Durability and Scaling,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-091 Redshift Durability and Scaling"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-091 Redshift Durability and Scaling,B,Amazon Kinesis Data Streams,Amazon Redshift,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-091 Redshift Durability and Scaling"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-091 Redshift Durability and Scaling,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-091 Redshift Durability and Scaling"" em pipelines de dados?",04-091 Redshift Durability and Scaling,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
