question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-221 AWS KMS"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-221 AWS KMS,A,AWS KMS,Amazon S3,AWS IAM,Amazon DynamoDB
"Uma equipe precisa aplicar os conceitos de ""10-221 AWS KMS"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-221 AWS KMS,B,AWS IAM,AWS KMS,Amazon S3,Amazon DynamoDB
"A aula ""10-221 AWS KMS"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-221 AWS KMS,A,Verdadeiro,Falso,,
"No contexto de ""10-221 AWS KMS"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-221 AWS KMS,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-221 AWS KMS"", qual prática costuma ser mais recomendada?",10-221 AWS KMS,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-221 AWS KMS""?",10-221 AWS KMS,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-221 AWS KMS"", qual decisão melhora observabilidade operacional?",10-221 AWS KMS,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-221 AWS KMS"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-221 AWS KMS,B,Amazon DynamoDB,Amazon S3,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-221 AWS KMS"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-221 AWS KMS,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-221 AWS KMS"" em pipelines de dados?",10-221 AWS KMS,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
