question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-108 AWS Database Migration Service (AWS DMS)"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-108 AWS Database Migration Service (AWS DMS),A,AWS SCT,AWS SCT instalado,Amazon RDS,Amazon S3 e o DocumentDB
"Uma equipe precisa aplicar os conceitos de ""05-108 AWS Database Migration Service (AWS DMS)"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-108 AWS Database Migration Service (AWS DMS),B,Amazon RDS,AWS SCT,AWS SCT instalado,Amazon S3 e o DocumentDB
"A aula ""05-108 AWS Database Migration Service (AWS DMS)"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-108 AWS Database Migration Service (AWS DMS),A,Verdadeiro,Falso,,
"No contexto de ""05-108 AWS Database Migration Service (AWS DMS)"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-108 AWS Database Migration Service (AWS DMS),A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-108 AWS Database Migration Service (AWS DMS)"", qual prática costuma ser mais recomendada?",05-108 AWS Database Migration Service (AWS DMS),C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-108 AWS Database Migration Service (AWS DMS)""?",05-108 AWS Database Migration Service (AWS DMS),D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-108 AWS Database Migration Service (AWS DMS)"", qual decisão melhora observabilidade operacional?",05-108 AWS Database Migration Service (AWS DMS),A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-108 AWS Database Migration Service (AWS DMS)"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-108 AWS Database Migration Service (AWS DMS),B,Amazon S3 e o DocumentDB,AWS SCT instalado,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-108 AWS Database Migration Service (AWS DMS)"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-108 AWS Database Migration Service (AWS DMS),A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-108 AWS Database Migration Service (AWS DMS)"" em pipelines de dados?",05-108 AWS Database Migration Service (AWS DMS),C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
