question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-113 AWS Data Exchange"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-113 AWS Data Exchange,A,AWS Data Exchange,Amazon S3 e,Amazon Redshift e,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""05-113 AWS Data Exchange"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-113 AWS Data Exchange,B,Amazon Redshift e,AWS Data Exchange,Amazon S3 e,Amazon Redshift
"A aula ""05-113 AWS Data Exchange"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-113 AWS Data Exchange,A,Verdadeiro,Falso,,
"No contexto de ""05-113 AWS Data Exchange"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-113 AWS Data Exchange,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-113 AWS Data Exchange"", qual prática costuma ser mais recomendada?",05-113 AWS Data Exchange,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-113 AWS Data Exchange""?",05-113 AWS Data Exchange,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-113 AWS Data Exchange"", qual decisão melhora observabilidade operacional?",05-113 AWS Data Exchange,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-113 AWS Data Exchange"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-113 AWS Data Exchange,B,Amazon Redshift,Amazon S3 e,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-113 AWS Data Exchange"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-113 AWS Data Exchange,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-113 AWS Data Exchange"" em pipelines de dados?",05-113 AWS Data Exchange,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
