question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""02-017 SQL JOIN types"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",02-017 SQL JOIN types,A,Amazon S3,AWS Glue,Amazon Kinesis Data Streams,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""02-017 SQL JOIN types"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",02-017 SQL JOIN types,B,Amazon Kinesis Data Streams,Amazon S3,AWS Glue,Amazon Redshift
"A aula ""02-017 SQL JOIN types"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",02-017 SQL JOIN types,A,Verdadeiro,Falso,,
"No contexto de ""02-017 SQL JOIN types"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",02-017 SQL JOIN types,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""02-017 SQL JOIN types"", qual prática costuma ser mais recomendada?",02-017 SQL JOIN types,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""02-017 SQL JOIN types""?",02-017 SQL JOIN types,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""02-017 SQL JOIN types"", qual decisão melhora observabilidade operacional?",02-017 SQL JOIN types,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""02-017 SQL JOIN types"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",02-017 SQL JOIN types,B,Amazon Redshift,AWS Glue,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""02-017 SQL JOIN types"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",02-017 SQL JOIN types,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""02-017 SQL JOIN types"" em pipelines de dados?",02-017 SQL JOIN types,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
