question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),A,AWS Glue para extrair uma,AWS Lake Formation usado em conjunto,AWS Lake Formation,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),B,AWS Lake Formation,AWS Glue para extrair uma,AWS Lake Formation usado em conjunto,Amazon Redshift
"A aula ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),A,Verdadeiro,Falso,,
"No contexto de ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"", qual prática costuma ser mais recomendada?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)""?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"", qual decisão melhora observabilidade operacional?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),B,Amazon Redshift,AWS Lake Formation usado em conjunto,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""02-007 Data Warehouses vs. Data Lakes (and Lakehouses)"" em pipelines de dados?",02-007 Data Warehouses vs. Data Lakes (and Lakehouses),C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
