question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-112 AWS Snow Family - Hands On"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-112 AWS Snow Family - Hands On,A,Amazon S3,Amazon S3 e eles s,Amazon S3 para,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""05-112 AWS Snow Family - Hands On"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-112 AWS Snow Family - Hands On,B,Amazon S3 para,Amazon S3,Amazon S3 e eles s,AWS Glue
"A aula ""05-112 AWS Snow Family - Hands On"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-112 AWS Snow Family - Hands On,A,Verdadeiro,Falso,,
"No contexto de ""05-112 AWS Snow Family - Hands On"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-112 AWS Snow Family - Hands On,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-112 AWS Snow Family - Hands On"", qual prática costuma ser mais recomendada?",05-112 AWS Snow Family - Hands On,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-112 AWS Snow Family - Hands On""?",05-112 AWS Snow Family - Hands On,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-112 AWS Snow Family - Hands On"", qual decisão melhora observabilidade operacional?",05-112 AWS Snow Family - Hands On,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-112 AWS Snow Family - Hands On"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-112 AWS Snow Family - Hands On,B,AWS Glue,Amazon S3 e eles s,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-112 AWS Snow Family - Hands On"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-112 AWS Snow Family - Hands On,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-112 AWS Snow Family - Hands On"" em pipelines de dados?",05-112 AWS Snow Family - Hands On,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
