question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-241 Amazon CloudFront"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",11-241 Amazon CloudFront,A,Amazon S3,Amazon S3 por meio do Amazon CloudFront,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""11-241 Amazon CloudFront"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",11-241 Amazon CloudFront,B,AWS Glue,Amazon S3,Amazon S3 por meio do Amazon CloudFront,Amazon Kinesis Data Streams
"A aula ""11-241 Amazon CloudFront"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",11-241 Amazon CloudFront,A,Verdadeiro,Falso,,
"No contexto de ""11-241 Amazon CloudFront"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",11-241 Amazon CloudFront,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-241 Amazon CloudFront"", qual prática costuma ser mais recomendada?",11-241 Amazon CloudFront,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-241 Amazon CloudFront""?",11-241 Amazon CloudFront,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-241 Amazon CloudFront"", qual decisão melhora observabilidade operacional?",11-241 Amazon CloudFront,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-241 Amazon CloudFront"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",11-241 Amazon CloudFront,B,Amazon Kinesis Data Streams,Amazon S3 por meio do Amazon CloudFront,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-241 Amazon CloudFront"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",11-241 Amazon CloudFront,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-241 Amazon CloudFront"" em pipelines de dados?",11-241 Amazon CloudFront,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
