question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-114 AWS Transfer Family"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-114 AWS Transfer Family,A,Amazon S3 ou EFS,Amazon Cognito ou qualquer fonte personalizada,Amazon S3 ou do Amazon EFS,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""05-114 AWS Transfer Family"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-114 AWS Transfer Family,B,Amazon S3 ou do Amazon EFS,Amazon S3 ou EFS,Amazon Cognito ou qualquer fonte personalizada,Amazon S3
"A aula ""05-114 AWS Transfer Family"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-114 AWS Transfer Family,A,Verdadeiro,Falso,,
"No contexto de ""05-114 AWS Transfer Family"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-114 AWS Transfer Family,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-114 AWS Transfer Family"", qual prática costuma ser mais recomendada?",05-114 AWS Transfer Family,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-114 AWS Transfer Family""?",05-114 AWS Transfer Family,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-114 AWS Transfer Family"", qual decisão melhora observabilidade operacional?",05-114 AWS Transfer Family,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-114 AWS Transfer Family"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-114 AWS Transfer Family,B,Amazon S3,Amazon Cognito ou qualquer fonte personalizada,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-114 AWS Transfer Family"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-114 AWS Transfer Family,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-114 AWS Transfer Family"" em pipelines de dados?",05-114 AWS Transfer Family,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
