question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""13-268 SageMaker Feature Store"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",13-268 SageMaker Feature Store,A,Amazon S3,AWS IAM,AWS Glue,Amazon Athena
"Uma equipe precisa aplicar os conceitos de ""13-268 SageMaker Feature Store"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",13-268 SageMaker Feature Store,B,AWS Glue,Amazon S3,AWS IAM,Amazon Athena
"A aula ""13-268 SageMaker Feature Store"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",13-268 SageMaker Feature Store,A,Verdadeiro,Falso,,
"No contexto de ""13-268 SageMaker Feature Store"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",13-268 SageMaker Feature Store,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""13-268 SageMaker Feature Store"", qual prática costuma ser mais recomendada?",13-268 SageMaker Feature Store,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""13-268 SageMaker Feature Store""?",13-268 SageMaker Feature Store,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""13-268 SageMaker Feature Store"", qual decisão melhora observabilidade operacional?",13-268 SageMaker Feature Store,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""13-268 SageMaker Feature Store"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",13-268 SageMaker Feature Store,B,Amazon Athena,AWS IAM,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""13-268 SageMaker Feature Store"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",13-268 SageMaker Feature Store,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""13-268 SageMaker Feature Store"" em pipelines de dados?",13-268 SageMaker Feature Store,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
