question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-233 NACL, Security Groups, VPC Flow Logs"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?","11-233 NACL, Security Groups, VPC Flow Logs",A,Amazon S3,Amazon Kinesis,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""11-233 NACL, Security Groups, VPC Flow Logs"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?","11-233 NACL, Security Groups, VPC Flow Logs",B,AWS Glue,Amazon S3,Amazon Kinesis,Amazon Kinesis Data Streams
"A aula ""11-233 NACL, Security Groups, VPC Flow Logs"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.","11-233 NACL, Security Groups, VPC Flow Logs",A,Verdadeiro,Falso,,
"No contexto de ""11-233 NACL, Security Groups, VPC Flow Logs"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.","11-233 NACL, Security Groups, VPC Flow Logs",A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-233 NACL, Security Groups, VPC Flow Logs"", qual prática costuma ser mais recomendada?","11-233 NACL, Security Groups, VPC Flow Logs",C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-233 NACL, Security Groups, VPC Flow Logs""?","11-233 NACL, Security Groups, VPC Flow Logs",D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-233 NACL, Security Groups, VPC Flow Logs"", qual decisão melhora observabilidade operacional?","11-233 NACL, Security Groups, VPC Flow Logs",A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-233 NACL, Security Groups, VPC Flow Logs"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?","11-233 NACL, Security Groups, VPC Flow Logs",B,Amazon Kinesis Data Streams,Amazon Kinesis,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-233 NACL, Security Groups, VPC Flow Logs"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.","11-233 NACL, Security Groups, VPC Flow Logs",A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-233 NACL, Security Groups, VPC Flow Logs"" em pipelines de dados?","11-233 NACL, Security Groups, VPC Flow Logs",C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
