question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-237 What is DNS-"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",11-237 What is DNS-,A,Amazon Route 53,Amazon Route 53 e assim por diante,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""11-237 What is DNS-"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",11-237 What is DNS-,B,Amazon S3,Amazon Route 53,Amazon Route 53 e assim por diante,AWS Glue
"A aula ""11-237 What is DNS-"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",11-237 What is DNS-,A,Verdadeiro,Falso,,
"No contexto de ""11-237 What is DNS-"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",11-237 What is DNS-,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-237 What is DNS-"", qual prática costuma ser mais recomendada?",11-237 What is DNS-,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-237 What is DNS-""?",11-237 What is DNS-,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-237 What is DNS-"", qual decisão melhora observabilidade operacional?",11-237 What is DNS-,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-237 What is DNS-"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",11-237 What is DNS-,B,AWS Glue,Amazon Route 53 e assim por diante,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-237 What is DNS-"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",11-237 What is DNS-,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-237 What is DNS-"" em pipelines de dados?",11-237 What is DNS-,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
