question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""07-131 Amazon ECR"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",07-131 Amazon ECR,A,Amazon ECR,Amazon ECR significa,Amazon ECS,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""07-131 Amazon ECR"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",07-131 Amazon ECR,B,Amazon ECS,Amazon ECR,Amazon ECR significa,Amazon S3
"A aula ""07-131 Amazon ECR"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",07-131 Amazon ECR,A,Verdadeiro,Falso,,
"No contexto de ""07-131 Amazon ECR"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",07-131 Amazon ECR,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""07-131 Amazon ECR"", qual prática costuma ser mais recomendada?",07-131 Amazon ECR,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""07-131 Amazon ECR""?",07-131 Amazon ECR,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""07-131 Amazon ECR"", qual decisão melhora observabilidade operacional?",07-131 Amazon ECR,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""07-131 Amazon ECR"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",07-131 Amazon ECR,B,Amazon S3,Amazon ECR significa,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""07-131 Amazon ECR"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",07-131 Amazon ECR,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""07-131 Amazon ECR"" em pipelines de dados?",07-131 Amazon ECR,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
