question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-151 Athena Performance"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-151 Athena Performance,A,Amazon S3,AWS Glue,Amazon Athena,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""08-151 Athena Performance"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-151 Athena Performance,B,Amazon Athena,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"A aula ""08-151 Athena Performance"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-151 Athena Performance,A,Verdadeiro,Falso,,
"No contexto de ""08-151 Athena Performance"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-151 Athena Performance,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-151 Athena Performance"", qual prática costuma ser mais recomendada?",08-151 Athena Performance,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-151 Athena Performance""?",08-151 Athena Performance,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-151 Athena Performance"", qual decisão melhora observabilidade operacional?",08-151 Athena Performance,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-151 Athena Performance"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-151 Athena Performance,B,Amazon Kinesis Data Streams,AWS Glue,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-151 Athena Performance"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-151 Athena Performance,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-151 Athena Performance"" em pipelines de dados?",08-151 Athena Performance,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
