question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""12-260 SSM Parameter Store"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",12-260 SSM Parameter Store,A,Amazon EventBridge,Amazon Linux,AWS IAM,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""12-260 SSM Parameter Store"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",12-260 SSM Parameter Store,B,AWS IAM,Amazon EventBridge,Amazon Linux,Amazon S3
"A aula ""12-260 SSM Parameter Store"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",12-260 SSM Parameter Store,A,Verdadeiro,Falso,,
"No contexto de ""12-260 SSM Parameter Store"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",12-260 SSM Parameter Store,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""12-260 SSM Parameter Store"", qual prática costuma ser mais recomendada?",12-260 SSM Parameter Store,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""12-260 SSM Parameter Store""?",12-260 SSM Parameter Store,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""12-260 SSM Parameter Store"", qual decisão melhora observabilidade operacional?",12-260 SSM Parameter Store,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""12-260 SSM Parameter Store"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",12-260 SSM Parameter Store,B,Amazon S3,Amazon Linux,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""12-260 SSM Parameter Store"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",12-260 SSM Parameter Store,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""12-260 SSM Parameter Store"" em pipelines de dados?",12-260 SSM Parameter Store,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
