question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""05-106 Intro- Migration and Transfer"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",05-106 Intro- Migration and Transfer,A,AWS Application,AWS Database,AWS Data,AWS Snow e a fam
"Uma equipe precisa aplicar os conceitos de ""05-106 Intro- Migration and Transfer"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",05-106 Intro- Migration and Transfer,B,AWS Data,AWS Application,AWS Database,AWS Snow e a fam
"A aula ""05-106 Intro- Migration and Transfer"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",05-106 Intro- Migration and Transfer,A,Verdadeiro,Falso,,
"No contexto de ""05-106 Intro- Migration and Transfer"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",05-106 Intro- Migration and Transfer,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""05-106 Intro- Migration and Transfer"", qual prática costuma ser mais recomendada?",05-106 Intro- Migration and Transfer,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""05-106 Intro- Migration and Transfer""?",05-106 Intro- Migration and Transfer,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""05-106 Intro- Migration and Transfer"", qual decisão melhora observabilidade operacional?",05-106 Intro- Migration and Transfer,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""05-106 Intro- Migration and Transfer"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",05-106 Intro- Migration and Transfer,B,AWS Snow e a fam,AWS Database,AWS Transfer,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""05-106 Intro- Migration and Transfer"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",05-106 Intro- Migration and Transfer,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""05-106 Intro- Migration and Transfer"" em pipelines de dados?",05-106 Intro- Migration and Transfer,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
