question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""06-125 AWS Batch"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",06-125 AWS Batch,A,AWS Batch,AWS Batch permite que voc,AWS Batch ser,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""06-125 AWS Batch"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",06-125 AWS Batch,B,AWS Batch ser,AWS Batch,AWS Batch permite que voc,Amazon S3
"A aula ""06-125 AWS Batch"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",06-125 AWS Batch,A,Verdadeiro,Falso,,
"No contexto de ""06-125 AWS Batch"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",06-125 AWS Batch,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""06-125 AWS Batch"", qual prática costuma ser mais recomendada?",06-125 AWS Batch,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""06-125 AWS Batch""?",06-125 AWS Batch,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""06-125 AWS Batch"", qual decisão melhora observabilidade operacional?",06-125 AWS Batch,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""06-125 AWS Batch"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",06-125 AWS Batch,B,Amazon S3,AWS Batch permite que voc,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""06-125 AWS Batch"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",06-125 AWS Batch,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""06-125 AWS Batch"" em pipelines de dados?",06-125 AWS Batch,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
