question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-090 Redshift Spectrum and Performance Tuning"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-090 Redshift Spectrum and Performance Tuning,A,AWS Glue para criar,Amazon Redshift converte os dados de forma transparente,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""04-090 Redshift Spectrum and Performance Tuning"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-090 Redshift Spectrum and Performance Tuning,B,Amazon S3,AWS Glue para criar,Amazon Redshift converte os dados de forma transparente,AWS Glue
"A aula ""04-090 Redshift Spectrum and Performance Tuning"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-090 Redshift Spectrum and Performance Tuning,A,Verdadeiro,Falso,,
"No contexto de ""04-090 Redshift Spectrum and Performance Tuning"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-090 Redshift Spectrum and Performance Tuning,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-090 Redshift Spectrum and Performance Tuning"", qual prática costuma ser mais recomendada?",04-090 Redshift Spectrum and Performance Tuning,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-090 Redshift Spectrum and Performance Tuning""?",04-090 Redshift Spectrum and Performance Tuning,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-090 Redshift Spectrum and Performance Tuning"", qual decisão melhora observabilidade operacional?",04-090 Redshift Spectrum and Performance Tuning,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-090 Redshift Spectrum and Performance Tuning"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-090 Redshift Spectrum and Performance Tuning,B,AWS Glue,Amazon Redshift converte os dados de forma transparente,Amazon Redshift,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-090 Redshift Spectrum and Performance Tuning"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-090 Redshift Spectrum and Performance Tuning,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-090 Redshift Spectrum and Performance Tuning"" em pipelines de dados?",04-090 Redshift Spectrum and Performance Tuning,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
