question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""12-246 Amazon CloudWatch - Metrics"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",12-246 Amazon CloudWatch - Metrics,A,Amazon CloudWatch,Amazon S3,Amazon Kinesis Data Firehose e,Amazon Athena para analisar seus dados no Amazon S3
"Uma equipe precisa aplicar os conceitos de ""12-246 Amazon CloudWatch - Metrics"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",12-246 Amazon CloudWatch - Metrics,B,Amazon Kinesis Data Firehose e,Amazon CloudWatch,Amazon S3,Amazon Athena para analisar seus dados no Amazon S3
"A aula ""12-246 Amazon CloudWatch - Metrics"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",12-246 Amazon CloudWatch - Metrics,A,Verdadeiro,Falso,,
"No contexto de ""12-246 Amazon CloudWatch - Metrics"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",12-246 Amazon CloudWatch - Metrics,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""12-246 Amazon CloudWatch - Metrics"", qual prática costuma ser mais recomendada?",12-246 Amazon CloudWatch - Metrics,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""12-246 Amazon CloudWatch - Metrics""?",12-246 Amazon CloudWatch - Metrics,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""12-246 Amazon CloudWatch - Metrics"", qual decisão melhora observabilidade operacional?",12-246 Amazon CloudWatch - Metrics,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""12-246 Amazon CloudWatch - Metrics"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",12-246 Amazon CloudWatch - Metrics,B,Amazon Athena para analisar seus dados no Amazon S3,Amazon S3,Amazon Redshift para ter um armazenamento,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""12-246 Amazon CloudWatch - Metrics"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",12-246 Amazon CloudWatch - Metrics,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""12-246 Amazon CloudWatch - Metrics"" em pipelines de dados?",12-246 Amazon CloudWatch - Metrics,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
