question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""06-120 Lambda Integration - Part 2"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",06-120 Lambda Integration - Part 2,A,AWS Lambda,Amazon Kinesis e o processamento,Amazon S3,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""06-120 Lambda Integration - Part 2"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",06-120 Lambda Integration - Part 2,B,Amazon S3,AWS Lambda,Amazon Kinesis e o processamento,Amazon Redshift
"A aula ""06-120 Lambda Integration - Part 2"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",06-120 Lambda Integration - Part 2,A,Verdadeiro,Falso,,
"No contexto de ""06-120 Lambda Integration - Part 2"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",06-120 Lambda Integration - Part 2,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""06-120 Lambda Integration - Part 2"", qual prática costuma ser mais recomendada?",06-120 Lambda Integration - Part 2,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""06-120 Lambda Integration - Part 2""?",06-120 Lambda Integration - Part 2,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""06-120 Lambda Integration - Part 2"", qual decisão melhora observabilidade operacional?",06-120 Lambda Integration - Part 2,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""06-120 Lambda Integration - Part 2"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",06-120 Lambda Integration - Part 2,B,Amazon Redshift,Amazon Kinesis e o processamento,Amazon Kinesis,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""06-120 Lambda Integration - Part 2"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",06-120 Lambda Integration - Part 2,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""06-120 Lambda Integration - Part 2"" em pipelines de dados?",06-120 Lambda Integration - Part 2,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
