question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,A,AWS Organizations,Amazon S3,AWS IAM,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,B,AWS IAM,AWS Organizations,Amazon S3,Amazon Redshift
"A aula ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-210 Preventing Backups or Replication to Disallowed AWS Regions,A,Verdadeiro,Falso,,
"No contexto de ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-210 Preventing Backups or Replication to Disallowed AWS Regions,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"", qual prática costuma ser mais recomendada?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-210 Preventing Backups or Replication to Disallowed AWS Regions""?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"", qual decisão melhora observabilidade operacional?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,B,Amazon Redshift,Amazon S3,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-210 Preventing Backups or Replication to Disallowed AWS Regions,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-210 Preventing Backups or Replication to Disallowed AWS Regions"" em pipelines de dados?",10-210 Preventing Backups or Replication to Disallowed AWS Regions,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
