question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-094 Redshift Integration - WLM - Vacuum"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-094 Redshift Integration - WLM - Vacuum,A,AWS Database Migration,AWS Glue para o Apache Spark,AWS Glue,AWS Big Data sobre as
"Uma equipe precisa aplicar os conceitos de ""04-094 Redshift Integration - WLM - Vacuum"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-094 Redshift Integration - WLM - Vacuum,B,AWS Glue,AWS Database Migration,AWS Glue para o Apache Spark,AWS Big Data sobre as
"A aula ""04-094 Redshift Integration - WLM - Vacuum"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-094 Redshift Integration - WLM - Vacuum,A,Verdadeiro,Falso,,
"No contexto de ""04-094 Redshift Integration - WLM - Vacuum"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-094 Redshift Integration - WLM - Vacuum,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-094 Redshift Integration - WLM - Vacuum"", qual prática costuma ser mais recomendada?",04-094 Redshift Integration - WLM - Vacuum,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-094 Redshift Integration - WLM - Vacuum""?",04-094 Redshift Integration - WLM - Vacuum,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-094 Redshift Integration - WLM - Vacuum"", qual decisão melhora observabilidade operacional?",04-094 Redshift Integration - WLM - Vacuum,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-094 Redshift Integration - WLM - Vacuum"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-094 Redshift Integration - WLM - Vacuum,B,AWS Big Data sobre as,AWS Glue para o Apache Spark,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-094 Redshift Integration - WLM - Vacuum"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-094 Redshift Integration - WLM - Vacuum,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-094 Redshift Integration - WLM - Vacuum"" em pipelines de dados?",04-094 Redshift Integration - WLM - Vacuum,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
