question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-078 Shared and exclusive locks in RDS"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-078 Shared and exclusive locks in RDS,A,Amazon Redshift,Amazon S3,AWS Glue,Amazon Kinesis Data Streams
"Uma equipe precisa aplicar os conceitos de ""04-078 Shared and exclusive locks in RDS"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-078 Shared and exclusive locks in RDS,B,AWS Glue,Amazon Redshift,Amazon S3,Amazon Kinesis Data Streams
"A aula ""04-078 Shared and exclusive locks in RDS"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-078 Shared and exclusive locks in RDS,A,Verdadeiro,Falso,,
"No contexto de ""04-078 Shared and exclusive locks in RDS"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-078 Shared and exclusive locks in RDS,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-078 Shared and exclusive locks in RDS"", qual prática costuma ser mais recomendada?",04-078 Shared and exclusive locks in RDS,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-078 Shared and exclusive locks in RDS""?",04-078 Shared and exclusive locks in RDS,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-078 Shared and exclusive locks in RDS"", qual decisão melhora observabilidade operacional?",04-078 Shared and exclusive locks in RDS,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-078 Shared and exclusive locks in RDS"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-078 Shared and exclusive locks in RDS,B,Amazon Kinesis Data Streams,Amazon S3,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-078 Shared and exclusive locks in RDS"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-078 Shared and exclusive locks in RDS,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-078 Shared and exclusive locks in RDS"" em pipelines de dados?",04-078 Shared and exclusive locks in RDS,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
