question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""10-219 IAM Roles - Hands On"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",10-219 IAM Roles - Hands On,A,Amazon EC2,Amazon EC2 e como anexar as permiss,AWS IAM,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""10-219 IAM Roles - Hands On"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",10-219 IAM Roles - Hands On,B,AWS IAM,Amazon EC2,Amazon EC2 e como anexar as permiss,Amazon S3
"A aula ""10-219 IAM Roles - Hands On"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",10-219 IAM Roles - Hands On,A,Verdadeiro,Falso,,
"No contexto de ""10-219 IAM Roles - Hands On"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",10-219 IAM Roles - Hands On,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""10-219 IAM Roles - Hands On"", qual prática costuma ser mais recomendada?",10-219 IAM Roles - Hands On,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""10-219 IAM Roles - Hands On""?",10-219 IAM Roles - Hands On,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""10-219 IAM Roles - Hands On"", qual decisão melhora observabilidade operacional?",10-219 IAM Roles - Hands On,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""10-219 IAM Roles - Hands On"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",10-219 IAM Roles - Hands On,B,Amazon S3,Amazon EC2 e como anexar as permiss,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""10-219 IAM Roles - Hands On"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",10-219 IAM Roles - Hands On,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""10-219 IAM Roles - Hands On"" em pipelines de dados?",10-219 IAM Roles - Hands On,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
