question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""15-300 Intro- Everything Else"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",15-300 Intro- Everything Else,A,Amazon S3,AWS Glue,Amazon Kinesis Data Streams,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""15-300 Intro- Everything Else"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",15-300 Intro- Everything Else,B,Amazon Kinesis Data Streams,Amazon S3,AWS Glue,Amazon Redshift
"A aula ""15-300 Intro- Everything Else"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",15-300 Intro- Everything Else,A,Verdadeiro,Falso,,
"No contexto de ""15-300 Intro- Everything Else"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",15-300 Intro- Everything Else,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""15-300 Intro- Everything Else"", qual prática costuma ser mais recomendada?",15-300 Intro- Everything Else,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""15-300 Intro- Everything Else""?",15-300 Intro- Everything Else,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""15-300 Intro- Everything Else"", qual decisão melhora observabilidade operacional?",15-300 Intro- Everything Else,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""15-300 Intro- Everything Else"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",15-300 Intro- Everything Else,B,Amazon Redshift,AWS Glue,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""15-300 Intro- Everything Else"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",15-300 Intro- Everything Else,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""15-300 Intro- Everything Else"" em pipelines de dados?",15-300 Intro- Everything Else,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
