question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-135 AWS Glue"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-135 AWS Glue,A,Amazon EMR,Amazon Glue,Amazon QuickSight para,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""08-135 AWS Glue"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-135 AWS Glue,B,Amazon QuickSight para,Amazon EMR,Amazon Glue,Amazon S3
"A aula ""08-135 AWS Glue"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-135 AWS Glue,A,Verdadeiro,Falso,,
"No contexto de ""08-135 AWS Glue"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-135 AWS Glue,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-135 AWS Glue"", qual prática costuma ser mais recomendada?",08-135 AWS Glue,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-135 AWS Glue""?",08-135 AWS Glue,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-135 AWS Glue"", qual decisão melhora observabilidade operacional?",08-135 AWS Glue,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-135 AWS Glue"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-135 AWS Glue,B,Amazon S3,Amazon Glue,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-135 AWS Glue"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-135 AWS Glue,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-135 AWS Glue"" em pipelines de dados?",08-135 AWS Glue,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
