question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""11-238 Amazon Route 53"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",11-238 Amazon Route 53,A,Amazon Route 53,Amazon Route,Amazon S3,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""11-238 Amazon Route 53"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",11-238 Amazon Route 53,B,Amazon S3,Amazon Route 53,Amazon Route,AWS Glue
"A aula ""11-238 Amazon Route 53"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",11-238 Amazon Route 53,A,Verdadeiro,Falso,,
"No contexto de ""11-238 Amazon Route 53"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",11-238 Amazon Route 53,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""11-238 Amazon Route 53"", qual prática costuma ser mais recomendada?",11-238 Amazon Route 53,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""11-238 Amazon Route 53""?",11-238 Amazon Route 53,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""11-238 Amazon Route 53"", qual decisão melhora observabilidade operacional?",11-238 Amazon Route 53,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""11-238 Amazon Route 53"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",11-238 Amazon Route 53,B,AWS Glue,Amazon Route,Amazon Kinesis Data Streams,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""11-238 Amazon Route 53"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",11-238 Amazon Route 53,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""11-238 Amazon Route 53"" em pipelines de dados?",11-238 Amazon Route 53,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
