question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""03-050 Amazon S3 - Storage Lens"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",03-050 Amazon S3 - Storage Lens,A,Amazon S3,AWS Glue,Amazon Kinesis Data Streams,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""03-050 Amazon S3 - Storage Lens"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",03-050 Amazon S3 - Storage Lens,B,Amazon Kinesis Data Streams,Amazon S3,AWS Glue,Amazon Redshift
"A aula ""03-050 Amazon S3 - Storage Lens"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",03-050 Amazon S3 - Storage Lens,A,Verdadeiro,Falso,,
"No contexto de ""03-050 Amazon S3 - Storage Lens"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",03-050 Amazon S3 - Storage Lens,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""03-050 Amazon S3 - Storage Lens"", qual prática costuma ser mais recomendada?",03-050 Amazon S3 - Storage Lens,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""03-050 Amazon S3 - Storage Lens""?",03-050 Amazon S3 - Storage Lens,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""03-050 Amazon S3 - Storage Lens"", qual decisão melhora observabilidade operacional?",03-050 Amazon S3 - Storage Lens,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""03-050 Amazon S3 - Storage Lens"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",03-050 Amazon S3 - Storage Lens,B,Amazon Redshift,AWS Glue,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""03-050 Amazon S3 - Storage Lens"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",03-050 Amazon S3 - Storage Lens,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""03-050 Amazon S3 - Storage Lens"" em pipelines de dados?",03-050 Amazon S3 - Storage Lens,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
