question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,A,AWS Glue Data catalog,AWS Glue,AWS IAM,Amazon Athena
"Uma equipe precisa aplicar os conceitos de ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,B,AWS IAM,AWS Glue Data catalog,AWS Glue,Amazon Athena
"A aula ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,A,Verdadeiro,Falso,,
"No contexto de ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"", qual prática costuma ser mais recomendada?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog""?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"", qual decisão melhora observabilidade operacional?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,B,Amazon Athena,AWS Glue,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-154 Athena Fine-Grained Access to AWS Glue Data Catalog"" em pipelines de dados?",08-154 Athena Fine-Grained Access to AWS Glue Data Catalog,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
