question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-076 Amazon DynamoDB - Security"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-076 Amazon DynamoDB - Security,A,AWS KMS ou em tr,AWS Database Migration Service,Amazon Cognito User Pools,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""04-076 Amazon DynamoDB - Security"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-076 Amazon DynamoDB - Security,B,Amazon Cognito User Pools,AWS KMS ou em tr,AWS Database Migration Service,Amazon S3
"A aula ""04-076 Amazon DynamoDB - Security"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-076 Amazon DynamoDB - Security,A,Verdadeiro,Falso,,
"No contexto de ""04-076 Amazon DynamoDB - Security"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-076 Amazon DynamoDB - Security,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-076 Amazon DynamoDB - Security"", qual prática costuma ser mais recomendada?",04-076 Amazon DynamoDB - Security,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-076 Amazon DynamoDB - Security""?",04-076 Amazon DynamoDB - Security,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-076 Amazon DynamoDB - Security"", qual decisão melhora observabilidade operacional?",04-076 Amazon DynamoDB - Security,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-076 Amazon DynamoDB - Security"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-076 Amazon DynamoDB - Security,B,Amazon S3,AWS Database Migration Service,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-076 Amazon DynamoDB - Security"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-076 Amazon DynamoDB - Security,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-076 Amazon DynamoDB - Security"" em pipelines de dados?",04-076 Amazon DynamoDB - Security,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
