question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""04-089 Amazon Redshift Intro & Architecture"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",04-089 Amazon Redshift Intro & Architecture,A,AWS Management Console ou com uma,AWS Management Console,AWS Big Data,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""04-089 Amazon Redshift Intro & Architecture"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",04-089 Amazon Redshift Intro & Architecture,B,AWS Big Data,AWS Management Console ou com uma,AWS Management Console,Amazon Redshift
"A aula ""04-089 Amazon Redshift Intro & Architecture"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",04-089 Amazon Redshift Intro & Architecture,A,Verdadeiro,Falso,,
"No contexto de ""04-089 Amazon Redshift Intro & Architecture"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",04-089 Amazon Redshift Intro & Architecture,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""04-089 Amazon Redshift Intro & Architecture"", qual prática costuma ser mais recomendada?",04-089 Amazon Redshift Intro & Architecture,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""04-089 Amazon Redshift Intro & Architecture""?",04-089 Amazon Redshift Intro & Architecture,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""04-089 Amazon Redshift Intro & Architecture"", qual decisão melhora observabilidade operacional?",04-089 Amazon Redshift Intro & Architecture,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""04-089 Amazon Redshift Intro & Architecture"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",04-089 Amazon Redshift Intro & Architecture,B,Amazon Redshift,AWS Management Console,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""04-089 Amazon Redshift Intro & Architecture"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",04-089 Amazon Redshift Intro & Architecture,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""04-089 Amazon Redshift Intro & Architecture"" em pipelines de dados?",04-089 Amazon Redshift Intro & Architecture,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
