question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""13-285 Amazon Q Business"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",13-285 Amazon Q Business,A,Amazon Q Business,Amazon Bedrock,Amazon Q Business pode consultar,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""13-285 Amazon Q Business"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",13-285 Amazon Q Business,B,Amazon Q Business pode consultar,Amazon Q Business,Amazon Bedrock,Amazon S3
"A aula ""13-285 Amazon Q Business"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",13-285 Amazon Q Business,A,Verdadeiro,Falso,,
"No contexto de ""13-285 Amazon Q Business"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",13-285 Amazon Q Business,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""13-285 Amazon Q Business"", qual prática costuma ser mais recomendada?",13-285 Amazon Q Business,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""13-285 Amazon Q Business""?",13-285 Amazon Q Business,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""13-285 Amazon Q Business"", qual decisão melhora observabilidade operacional?",13-285 Amazon Q Business,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""13-285 Amazon Q Business"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",13-285 Amazon Q Business,B,Amazon S3,Amazon Bedrock,Amazon RDS,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""13-285 Amazon Q Business"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",13-285 Amazon Q Business,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""13-285 Amazon Q Business"" em pipelines de dados?",13-285 Amazon Q Business,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
