question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-162 EMR, AWS integration, and Storage"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?","08-162 EMR, AWS integration, and Storage",A,AWS IAM para configurar permiss,Amazon EC2 como base,Amazon VPCs para configurar,Amazon VPC
"Uma equipe precisa aplicar os conceitos de ""08-162 EMR, AWS integration, and Storage"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?","08-162 EMR, AWS integration, and Storage",B,Amazon VPCs para configurar,AWS IAM para configurar permiss,Amazon EC2 como base,Amazon VPC
"A aula ""08-162 EMR, AWS integration, and Storage"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.","08-162 EMR, AWS integration, and Storage",A,Verdadeiro,Falso,,
"No contexto de ""08-162 EMR, AWS integration, and Storage"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.","08-162 EMR, AWS integration, and Storage",A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-162 EMR, AWS integration, and Storage"", qual prática costuma ser mais recomendada?","08-162 EMR, AWS integration, and Storage",C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-162 EMR, AWS integration, and Storage""?","08-162 EMR, AWS integration, and Storage",D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-162 EMR, AWS integration, and Storage"", qual decisão melhora observabilidade operacional?","08-162 EMR, AWS integration, and Storage",A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-162 EMR, AWS integration, and Storage"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?","08-162 EMR, AWS integration, and Storage",B,Amazon VPC,Amazon EC2 como base,Amazon S3,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-162 EMR, AWS integration, and Storage"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.","08-162 EMR, AWS integration, and Storage",A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-162 EMR, AWS integration, and Storage"" em pipelines de dados?","08-162 EMR, AWS integration, and Storage",C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
