question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""03-055 Amazon EFS - Hands On"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",03-055 Amazon EFS - Hands On,A,Amazon Linux vers,Amazon EFS,Amazon Linux 2,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""03-055 Amazon EFS - Hands On"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",03-055 Amazon EFS - Hands On,B,Amazon Linux 2,Amazon Linux vers,Amazon EFS,Amazon S3
"A aula ""03-055 Amazon EFS - Hands On"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",03-055 Amazon EFS - Hands On,A,Verdadeiro,Falso,,
"No contexto de ""03-055 Amazon EFS - Hands On"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",03-055 Amazon EFS - Hands On,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""03-055 Amazon EFS - Hands On"", qual prática costuma ser mais recomendada?",03-055 Amazon EFS - Hands On,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""03-055 Amazon EFS - Hands On""?",03-055 Amazon EFS - Hands On,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""03-055 Amazon EFS - Hands On"", qual decisão melhora observabilidade operacional?",03-055 Amazon EFS - Hands On,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""03-055 Amazon EFS - Hands On"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",03-055 Amazon EFS - Hands On,B,Amazon S3,Amazon EFS,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""03-055 Amazon EFS - Hands On"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",03-055 Amazon EFS - Hands On,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""03-055 Amazon EFS - Hands On"" em pipelines de dados?",03-055 Amazon EFS - Hands On,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
