question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-140 AWS Glue Flex Jobs"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-140 AWS Glue Flex Jobs,A,AWS Glue,Amazon S3,Amazon Kinesis Data Streams,Amazon Redshift
"Uma equipe precisa aplicar os conceitos de ""08-140 AWS Glue Flex Jobs"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-140 AWS Glue Flex Jobs,B,Amazon Kinesis Data Streams,AWS Glue,Amazon S3,Amazon Redshift
"A aula ""08-140 AWS Glue Flex Jobs"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-140 AWS Glue Flex Jobs,A,Verdadeiro,Falso,,
"No contexto de ""08-140 AWS Glue Flex Jobs"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-140 AWS Glue Flex Jobs,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-140 AWS Glue Flex Jobs"", qual prática costuma ser mais recomendada?",08-140 AWS Glue Flex Jobs,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-140 AWS Glue Flex Jobs""?",08-140 AWS Glue Flex Jobs,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-140 AWS Glue Flex Jobs"", qual decisão melhora observabilidade operacional?",08-140 AWS Glue Flex Jobs,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-140 AWS Glue Flex Jobs"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-140 AWS Glue Flex Jobs,B,Amazon Redshift,Amazon S3,Amazon EMR,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-140 AWS Glue Flex Jobs"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-140 AWS Glue Flex Jobs,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-140 AWS Glue Flex Jobs"" em pipelines de dados?",08-140 AWS Glue Flex Jobs,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
