question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,A,Amazon SQS FIFO,Amazon Kinesis,Amazon DynamoDB,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,B,Amazon DynamoDB,Amazon SQS FIFO,Amazon Kinesis,Amazon S3
"A aula ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,A,Verdadeiro,Falso,,
"No contexto de ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"", qual prática costuma ser mais recomendada?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS""?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"", qual decisão melhora observabilidade operacional?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,B,Amazon S3,Amazon Kinesis,AWS Glue,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""09-194 Amazon Kinesis Data Streams vs. Amazon SQS"" em pipelines de dados?",09-194 Amazon Kinesis Data Streams vs. Amazon SQS,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
