question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""01-001. Course Overview - Services we will Cover"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",01-001. Course Overview - Services we will Cover,A,AWS Certified Data Engineer Associate,AWS Certified Data Engineer,AWS Lake Formation,AWS Glue
"Uma equipe precisa aplicar os conceitos de ""01-001. Course Overview - Services we will Cover"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",01-001. Course Overview - Services we will Cover,B,AWS Lake Formation,AWS Certified Data Engineer Associate,AWS Certified Data Engineer,AWS Glue
"A aula ""01-001. Course Overview - Services we will Cover"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",01-001. Course Overview - Services we will Cover,A,Verdadeiro,Falso,,
"No contexto de ""01-001. Course Overview - Services we will Cover"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",01-001. Course Overview - Services we will Cover,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""01-001. Course Overview - Services we will Cover"", qual prática costuma ser mais recomendada?",01-001. Course Overview - Services we will Cover,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""01-001. Course Overview - Services we will Cover""?",01-001. Course Overview - Services we will Cover,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""01-001. Course Overview - Services we will Cover"", qual decisão melhora observabilidade operacional?",01-001. Course Overview - Services we will Cover,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""01-001. Course Overview - Services we will Cover"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",01-001. Course Overview - Services we will Cover,B,AWS Glue,AWS Certified Data Engineer,AWS Batch e o,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""01-001. Course Overview - Services we will Cover"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",01-001. Course Overview - Services we will Cover,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""01-001. Course Overview - Services we will Cover"" em pipelines de dados?",01-001. Course Overview - Services we will Cover,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
