question,ref,answer,option_a,option_b,option_c,option_d
"Na aula ""08-178 Amazon MSK"", qual serviço ou conceito é o foco principal para cenários de engenharia de dados na AWS?",08-178 Amazon MSK,A,Amazon MSK criar,Amazon S3 ou Kinesis Data Streams,Amazon MSK,Amazon S3
"Uma equipe precisa aplicar os conceitos de ""08-178 Amazon MSK"" com baixa latência e alta escalabilidade. Qual opção é a mais aderente ao contexto da aula?",08-178 Amazon MSK,B,Amazon MSK,Amazon MSK criar,Amazon S3 ou Kinesis Data Streams,Amazon S3
"A aula ""08-178 Amazon MSK"" é relevante para preparação da certificação AWS Data Engineer porque ajuda em decisões de arquitetura de dados.",08-178 Amazon MSK,A,Verdadeiro,Falso,,
"No contexto de ""08-178 Amazon MSK"", habilitar monitoramento e métricas no Amazon CloudWatch ajuda no troubleshooting de pipelines.",08-178 Amazon MSK,A,Verdadeiro,Falso,,
"Para reduzir custo mantendo análise de dados relacionada a ""08-178 Amazon MSK"", qual prática costuma ser mais recomendada?",08-178 Amazon MSK,C,Aumentar capacidade fixa sem medir uso,Desativar logs e monitoramento,Ajustar capacidade/particionamento conforme padrão de acesso,Duplicar dados em múltiplas regiões sem necessidade
"Qual alternativa melhor representa uma boa prática de segurança e governança associada ao tema ""08-178 Amazon MSK""?",08-178 Amazon MSK,D,Usar credenciais de root em aplicações,Liberar acesso público por padrão,Evitar criptografia para reduzir latência,Aplicar menor privilégio no IAM e criptografia em repouso/trânsito
"Em um cenário de prova, quando o assunto é ""08-178 Amazon MSK"", qual decisão melhora observabilidade operacional?",08-178 Amazon MSK,A,"Configurar métricas, logs e alarmes para detectar falhas rapidamente",Remover logs para economizar armazenamento,Executar jobs sem retries,Ignorar DLQ e tratamento de erro
"Quando ""08-178 Amazon MSK"" participa de uma arquitetura moderna, qual integração é mais comum para analytics?",08-178 Amazon MSK,B,Amazon S3,Amazon S3 ou Kinesis Data Streams,AWS IAM,Amazon EC2 sem armazenamento de dados
"Para exame AWS Data Engineer, ""08-178 Amazon MSK"" deve ser analisado também sob o ponto de vista de resiliência e recuperação de falhas.",08-178 Amazon MSK,A,Verdadeiro,Falso,,
"Qual escolha está mais alinhada ao uso prático de ""08-178 Amazon MSK"" em pipelines de dados?",08-178 Amazon MSK,C,Ignorar schema e qualidade de dados,Evitar automação e orquestração,"Definir validação, segurança e monitoramento desde o desenho do pipeline",Concentrar toda transformação manualmente em ambiente local
